job,marital,education,default,housing,loan,contact,month,poutcome,y
blue-collar,divorced,primary,no,yes,no,cellular,may,failure,no
services,single,secondary,no,no,no,cellular,jul,unknown,no
blue-collar,married,primary,no,yes,no,cellular,jul,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,no
self-employed,married,primary,no,yes,no,unknown,jun,unknown,no
services,married,secondary,no,yes,no,telephone,jul,unknown,no
retired,married,secondary,no,no,yes,cellular,feb,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
services,married,secondary,no,no,no,cellular,nov,failure,yes
management,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,primary,no,no,no,cellular,aug,unknown,no
admin.,single,secondary,no,no,no,cellular,jul,unknown,no
technician,married,secondary,no,yes,no,cellular,jul,unknown,no
services,married,secondary,no,yes,yes,unknown,may,unknown,no
technician,married,secondary,no,yes,no,unknown,jun,unknown,no
technician,married,secondary,no,yes,no,telephone,nov,other,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
services,married,secondary,no,yes,no,cellular,may,unknown,yes
entrepreneur,single,secondary,no,no,no,cellular,jan,unknown,no
management,divorced,tertiary,no,yes,no,unknown,jun,unknown,no
technician,married,secondary,no,yes,yes,cellular,may,unknown,no
blue-collar,single,primary,no,yes,no,unknown,may,unknown,no
services,married,unknown,no,yes,no,unknown,may,unknown,no
services,married,secondary,no,yes,no,telephone,jul,unknown,no
management,divorced,tertiary,no,no,no,unknown,may,unknown,no
blue-collar,single,secondary,no,yes,no,cellular,sep,success,yes
student,single,secondary,no,yes,no,unknown,may,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,secondary,no,yes,no,cellular,may,unknown,no
blue-collar,single,secondary,no,yes,no,cellular,may,failure,no
entrepreneur,married,secondary,no,yes,no,cellular,jul,unknown,yes
blue-collar,married,primary,no,no,yes,cellular,jul,unknown,no
management,married,tertiary,no,yes,yes,cellular,jul,unknown,no
services,married,secondary,no,yes,no,cellular,may,failure,no
blue-collar,married,secondary,no,no,no,unknown,jun,unknown,no
blue-collar,married,primary,no,no,no,telephone,jul,unknown,no
admin.,single,secondary,no,yes,no,cellular,jan,success,no
blue-collar,married,primary,no,yes,yes,unknown,may,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,nov,unknown,no
admin.,single,secondary,no,yes,yes,cellular,may,unknown,no
admin.,single,unknown,no,yes,no,cellular,may,unknown,no
management,married,tertiary,no,no,yes,cellular,jul,unknown,no
entrepreneur,single,primary,no,yes,no,unknown,may,unknown,yes
management,divorced,tertiary,no,yes,no,cellular,feb,failure,no
admin.,married,secondary,no,yes,yes,unknown,may,unknown,no
technician,married,secondary,no,no,yes,cellular,feb,unknown,no
admin.,divorced,secondary,no,no,yes,cellular,jul,unknown,no
services,married,secondary,no,no,no,cellular,aug,unknown,no
technician,single,tertiary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,yes,yes,unknown,may,unknown,yes
technician,single,tertiary,no,no,no,cellular,nov,unknown,no
services,married,secondary,no,no,no,unknown,may,unknown,no
admin.,divorced,secondary,no,no,no,cellular,apr,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
admin.,single,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,no
retired,married,secondary,no,no,no,cellular,jul,unknown,no
entrepreneur,married,tertiary,no,no,no,unknown,jun,unknown,no
management,divorced,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,jun,failure,yes
student,single,secondary,no,no,no,cellular,oct,failure,yes
technician,divorced,secondary,no,yes,no,unknown,may,unknown,no
management,single,unknown,no,yes,no,cellular,apr,other,no
admin.,married,secondary,no,no,no,unknown,may,unknown,no
self-employed,married,tertiary,no,no,no,unknown,jun,unknown,no
blue-collar,married,primary,no,yes,no,cellular,jul,unknown,no
technician,married,secondary,no,yes,no,cellular,jan,unknown,yes
blue-collar,married,secondary,no,yes,yes,cellular,may,failure,yes
management,married,tertiary,no,no,no,cellular,aug,unknown,no
admin.,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,divorced,secondary,no,yes,yes,unknown,may,unknown,no
management,single,tertiary,no,yes,no,cellular,jul,unknown,no
self-employed,single,tertiary,no,no,no,cellular,feb,unknown,no
entrepreneur,married,tertiary,no,yes,no,cellular,jul,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
services,divorced,secondary,no,yes,yes,unknown,may,unknown,no
blue-collar,single,secondary,no,no,yes,cellular,nov,unknown,no
self-employed,single,tertiary,no,no,no,cellular,nov,unknown,no
technician,married,secondary,no,yes,no,cellular,nov,unknown,no
services,married,secondary,no,yes,no,cellular,may,unknown,yes
technician,married,secondary,no,yes,no,cellular,nov,unknown,no
management,single,tertiary,no,no,yes,cellular,nov,failure,no
admin.,divorced,secondary,yes,yes,no,unknown,may,unknown,no
services,married,secondary,no,yes,yes,cellular,may,unknown,no
self-employed,married,tertiary,no,yes,no,cellular,feb,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,nov,unknown,no
technician,married,secondary,no,yes,no,cellular,jul,unknown,no
blue-collar,married,primary,no,yes,no,unknown,jun,unknown,no
admin.,single,secondary,no,no,yes,cellular,nov,failure,no
services,married,secondary,no,yes,no,unknown,may,unknown,no
housemaid,single,tertiary,no,yes,yes,cellular,jul,unknown,no
technician,married,secondary,no,yes,no,cellular,may,unknown,no
admin.,single,secondary,no,yes,yes,cellular,feb,unknown,no
technician,married,secondary,no,yes,yes,unknown,may,unknown,no
services,married,secondary,no,yes,no,unknown,may,unknown,no
unemployed,divorced,tertiary,no,no,no,cellular,nov,failure,no
management,married,tertiary,no,yes,no,cellular,feb,unknown,no
management,married,tertiary,no,no,no,cellular,feb,success,yes
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
housemaid,single,secondary,no,no,no,cellular,feb,unknown,no
unemployed,married,tertiary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,yes,no,cellular,may,failure,no
management,single,secondary,no,no,no,cellular,jun,unknown,no
blue-collar,married,secondary,no,no,no,unknown,may,unknown,no
retired,married,primary,no,no,no,cellular,mar,unknown,no
management,married,tertiary,no,yes,no,cellular,may,unknown,yes
services,divorced,secondary,no,no,no,cellular,feb,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,jul,unknown,no
retired,married,secondary,no,yes,no,cellular,may,failure,no
management,married,tertiary,no,no,no,cellular,jul,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,no,no,cellular,sep,success,no
blue-collar,single,primary,no,no,no,unknown,jun,unknown,no
management,single,secondary,no,yes,no,unknown,may,unknown,no
services,single,secondary,no,yes,no,unknown,may,unknown,no
retired,married,secondary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,yes,no,cellular,may,failure,no
technician,divorced,tertiary,no,yes,yes,unknown,may,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
admin.,single,secondary,no,yes,no,cellular,may,unknown,yes
management,married,tertiary,no,yes,no,cellular,may,unknown,no
blue-collar,married,primary,no,yes,yes,telephone,jul,unknown,no
technician,married,secondary,no,no,no,cellular,jun,other,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,yes,no,cellular,apr,unknown,no
management,single,secondary,no,yes,no,unknown,may,unknown,no
retired,married,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,single,primary,no,yes,no,unknown,may,unknown,no
entrepreneur,married,tertiary,no,yes,no,cellular,jul,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
services,married,secondary,no,yes,no,cellular,apr,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
unemployed,married,tertiary,no,no,no,unknown,may,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
student,single,secondary,no,no,no,unknown,aug,unknown,no
entrepreneur,married,tertiary,no,yes,no,cellular,feb,unknown,no
admin.,married,secondary,no,no,no,unknown,jun,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
entrepreneur,married,secondary,no,yes,yes,cellular,may,failure,no
technician,married,secondary,no,no,yes,cellular,feb,other,no
services,married,secondary,no,no,yes,unknown,jul,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,yes
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
entrepreneur,married,tertiary,no,yes,no,unknown,may,unknown,no
self-employed,married,tertiary,no,yes,no,unknown,jun,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
services,divorced,secondary,no,no,yes,cellular,jul,unknown,no
technician,single,secondary,no,yes,no,cellular,may,failure,no
admin.,married,unknown,no,no,no,unknown,jun,unknown,no
management,married,secondary,no,no,no,cellular,aug,unknown,no
services,divorced,secondary,no,yes,no,unknown,may,unknown,no
technician,married,tertiary,no,yes,no,cellular,jan,failure,no
management,divorced,tertiary,no,no,no,unknown,jun,unknown,no
management,divorced,tertiary,no,yes,no,unknown,jun,unknown,no
management,married,tertiary,no,no,no,cellular,nov,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,yes,no,unknown,may,unknown,no
housemaid,divorced,tertiary,no,yes,no,cellular,aug,unknown,no
blue-collar,divorced,primary,no,no,no,cellular,jul,unknown,no
self-employed,single,tertiary,no,yes,no,unknown,jun,unknown,no
entrepreneur,married,tertiary,no,yes,no,cellular,nov,unknown,no
retired,single,primary,no,no,no,cellular,jul,unknown,no
admin.,married,secondary,no,yes,no,cellular,apr,failure,no
management,married,secondary,no,no,no,cellular,jul,unknown,no
management,single,tertiary,no,no,no,unknown,may,unknown,no
services,single,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,primary,no,no,no,cellular,jul,unknown,no
self-employed,married,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
admin.,single,secondary,no,yes,no,cellular,may,other,no
services,married,secondary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,yes,yes,unknown,may,unknown,no
blue-collar,single,secondary,no,yes,no,cellular,jul,unknown,no
blue-collar,divorced,secondary,no,yes,no,cellular,may,unknown,no
technician,single,secondary,no,yes,no,cellular,jul,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,apr,other,yes
services,married,secondary,no,no,no,unknown,may,unknown,no
management,married,secondary,no,yes,no,unknown,may,unknown,no
admin.,single,tertiary,no,yes,no,cellular,may,failure,no
management,married,tertiary,no,yes,no,cellular,jul,unknown,no
services,married,tertiary,no,yes,no,unknown,may,unknown,no
unemployed,married,secondary,no,no,no,cellular,jan,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,aug,unknown,no
admin.,married,secondary,no,no,no,cellular,oct,unknown,no
management,married,secondary,no,no,no,cellular,feb,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,no,no,cellular,jan,unknown,no
management,married,tertiary,no,yes,no,unknown,jun,unknown,no
services,single,secondary,no,yes,yes,cellular,jan,failure,no
entrepreneur,married,tertiary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,yes,yes,unknown,jun,unknown,no
technician,married,secondary,no,yes,no,cellular,aug,unknown,no
unknown,married,unknown,no,no,no,unknown,jun,unknown,no
admin.,married,secondary,no,no,no,unknown,sep,unknown,no
management,married,secondary,no,yes,no,cellular,jul,unknown,no
management,single,secondary,no,no,no,cellular,aug,unknown,no
services,married,secondary,no,yes,yes,cellular,jul,unknown,no
services,married,secondary,no,yes,yes,unknown,may,unknown,no
student,single,secondary,no,no,no,cellular,feb,unknown,no
blue-collar,married,primary,no,yes,no,cellular,jul,unknown,no
services,single,secondary,no,yes,no,cellular,feb,failure,no
blue-collar,married,primary,no,no,no,cellular,jan,unknown,no
services,divorced,secondary,no,yes,no,unknown,jun,unknown,no
management,married,secondary,no,yes,no,cellular,jul,unknown,no
management,divorced,tertiary,no,no,yes,cellular,jun,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,no
admin.,divorced,secondary,no,yes,no,cellular,nov,other,no
services,single,secondary,no,no,no,cellular,jul,unknown,no
management,single,unknown,no,yes,no,unknown,may,unknown,no
services,married,secondary,no,yes,no,cellular,apr,unknown,no
entrepreneur,married,secondary,no,yes,no,unknown,may,unknown,no
technician,single,secondary,no,yes,no,cellular,aug,unknown,yes
management,divorced,tertiary,no,yes,no,unknown,may,unknown,no
services,single,secondary,no,yes,no,cellular,nov,success,yes
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,no
blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown,no
unemployed,single,secondary,no,no,no,cellular,jan,unknown,yes
services,married,secondary,no,yes,no,unknown,jun,unknown,yes
technician,single,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,yes,no,telephone,jul,unknown,no
blue-collar,divorced,secondary,no,yes,no,cellular,may,failure,no
technician,single,secondary,no,yes,no,cellular,may,success,no
unemployed,married,secondary,no,no,no,cellular,jul,unknown,no
management,single,tertiary,no,no,yes,cellular,jul,unknown,no
student,single,secondary,no,yes,no,cellular,nov,unknown,no
management,married,tertiary,no,yes,no,cellular,may,unknown,no
services,married,secondary,no,yes,yes,cellular,jul,unknown,no
technician,married,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,married,primary,no,yes,no,telephone,jul,unknown,no
admin.,married,secondary,no,yes,no,cellular,may,unknown,no
technician,married,tertiary,no,no,yes,unknown,jun,unknown,no
retired,single,secondary,no,no,yes,unknown,may,unknown,no
management,divorced,tertiary,no,no,yes,cellular,jul,unknown,no
management,married,tertiary,no,yes,yes,unknown,may,unknown,no
entrepreneur,married,secondary,no,yes,no,cellular,nov,unknown,no
unknown,married,secondary,no,no,no,cellular,aug,unknown,no
services,single,secondary,no,yes,no,cellular,may,unknown,no
management,married,tertiary,no,no,no,cellular,aug,failure,no
blue-collar,single,primary,no,yes,no,unknown,may,unknown,no
entrepreneur,married,secondary,yes,no,yes,cellular,jul,unknown,no
retired,married,secondary,no,no,no,cellular,apr,unknown,no
self-employed,married,secondary,no,no,no,unknown,jun,unknown,no
management,married,tertiary,no,yes,no,telephone,may,unknown,no
management,married,primary,no,yes,no,telephone,nov,unknown,no
technician,married,secondary,no,yes,no,telephone,feb,unknown,no
entrepreneur,married,primary,no,no,no,cellular,jul,unknown,no
technician,married,secondary,no,yes,yes,cellular,jul,failure,no
services,married,secondary,no,yes,no,telephone,may,unknown,no
services,married,primary,no,no,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,no
admin.,single,secondary,no,no,no,cellular,may,unknown,no
housemaid,single,tertiary,no,yes,no,cellular,nov,unknown,no
technician,divorced,secondary,no,yes,no,cellular,nov,unknown,no
housemaid,married,primary,no,no,yes,unknown,jun,unknown,no
services,married,secondary,no,yes,no,cellular,may,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,yes,yes,unknown,may,unknown,no
management,married,tertiary,no,no,no,cellular,oct,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,single,secondary,yes,no,yes,cellular,nov,unknown,yes
self-employed,married,tertiary,no,no,no,cellular,nov,unknown,no
management,single,tertiary,no,no,no,cellular,oct,unknown,yes
blue-collar,married,primary,no,yes,no,cellular,jul,unknown,no
entrepreneur,single,secondary,no,no,no,unknown,may,unknown,no
management,married,tertiary,no,no,no,cellular,jul,unknown,no
unemployed,married,secondary,no,yes,yes,cellular,feb,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,aug,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
services,single,secondary,no,yes,no,unknown,may,unknown,no
student,single,secondary,no,no,no,cellular,nov,failure,no
technician,married,secondary,no,no,yes,cellular,nov,failure,no
unemployed,married,secondary,no,no,no,cellular,jul,failure,yes
technician,divorced,tertiary,no,no,no,cellular,aug,unknown,no
retired,married,primary,no,no,no,cellular,oct,failure,yes
admin.,single,secondary,no,no,yes,cellular,jul,unknown,no
management,married,tertiary,no,yes,no,cellular,apr,unknown,no
technician,married,secondary,no,no,no,cellular,aug,other,yes
admin.,single,secondary,no,yes,no,cellular,apr,unknown,no
management,married,tertiary,no,yes,yes,cellular,apr,failure,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
technician,divorced,tertiary,no,yes,no,cellular,jun,unknown,no
admin.,married,secondary,no,yes,no,unknown,may,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
technician,single,tertiary,no,yes,no,cellular,apr,unknown,no
management,married,secondary,no,yes,no,cellular,jul,failure,yes
housemaid,married,tertiary,no,yes,yes,cellular,jul,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
blue-collar,married,primary,no,no,no,cellular,jan,failure,no
student,single,tertiary,no,no,no,cellular,sep,unknown,no
management,married,tertiary,no,no,no,cellular,dec,success,yes
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,no,no,cellular,oct,unknown,no
management,divorced,tertiary,no,yes,no,cellular,jul,unknown,no
management,married,tertiary,no,yes,yes,cellular,jul,unknown,no
technician,married,tertiary,no,no,no,cellular,oct,unknown,no
unemployed,married,secondary,no,no,no,unknown,jun,unknown,no
technician,married,primary,no,yes,no,unknown,may,unknown,no
unemployed,divorced,secondary,no,no,no,cellular,aug,unknown,no
admin.,married,secondary,no,yes,yes,telephone,aug,unknown,no
housemaid,married,primary,no,no,no,telephone,feb,unknown,no
blue-collar,single,primary,no,yes,no,cellular,jan,failure,no
services,single,secondary,no,yes,no,cellular,nov,unknown,no
services,married,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,single,unknown,no,no,no,unknown,jun,unknown,no
technician,single,tertiary,no,yes,no,unknown,may,unknown,yes
unemployed,single,primary,no,no,no,unknown,jun,unknown,no
self-employed,married,secondary,no,no,no,cellular,nov,unknown,no
services,single,secondary,no,yes,no,cellular,apr,unknown,no
admin.,single,secondary,no,yes,no,unknown,jun,unknown,no
retired,married,primary,no,yes,yes,cellular,jul,unknown,no
technician,married,tertiary,no,yes,no,cellular,feb,unknown,no
student,single,secondary,no,no,no,cellular,nov,other,yes
admin.,married,secondary,no,yes,no,cellular,nov,unknown,no
technician,married,tertiary,no,yes,no,cellular,jul,unknown,no
management,married,tertiary,no,yes,no,cellular,nov,failure,no
admin.,divorced,secondary,no,yes,no,unknown,may,unknown,no
technician,married,secondary,no,no,no,unknown,jun,unknown,no
unknown,married,primary,no,no,no,cellular,oct,unknown,yes
admin.,divorced,secondary,no,no,no,cellular,jul,failure,no
technician,married,secondary,no,yes,yes,cellular,aug,unknown,no
admin.,divorced,secondary,no,no,yes,cellular,nov,unknown,yes
management,married,tertiary,no,no,no,cellular,jul,unknown,no
housemaid,married,secondary,no,no,no,cellular,sep,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
self-employed,single,tertiary,no,no,no,cellular,may,unknown,no
management,married,tertiary,no,yes,no,cellular,jul,unknown,no
unknown,married,unknown,no,no,no,cellular,jul,failure,yes
unknown,divorced,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
retired,married,primary,no,no,yes,cellular,may,unknown,no
admin.,married,secondary,no,no,no,cellular,aug,unknown,no
retired,married,primary,no,no,no,cellular,nov,unknown,no
management,single,tertiary,no,yes,no,unknown,may,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
admin.,divorced,secondary,no,no,yes,cellular,jul,unknown,no
self-employed,single,tertiary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,yes,no,cellular,jan,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,no
management,married,tertiary,no,no,no,telephone,feb,unknown,yes
student,single,tertiary,no,no,no,cellular,feb,unknown,no
retired,married,secondary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,no,no,cellular,jan,unknown,no
management,married,tertiary,no,no,no,cellular,nov,unknown,no
blue-collar,married,secondary,no,yes,yes,cellular,jul,unknown,no
management,divorced,tertiary,no,no,yes,cellular,jul,unknown,no
admin.,married,secondary,yes,yes,no,cellular,jul,unknown,no
unemployed,single,secondary,no,yes,no,cellular,jul,unknown,no
student,married,unknown,no,no,no,telephone,jul,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
retired,divorced,secondary,yes,no,yes,unknown,jun,unknown,no
retired,married,primary,no,no,no,cellular,apr,unknown,no
housemaid,married,primary,no,no,yes,unknown,jun,unknown,yes
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
technician,single,unknown,no,yes,no,unknown,jun,unknown,no
admin.,married,secondary,no,yes,no,cellular,jul,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
blue-collar,married,unknown,no,yes,no,unknown,may,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
technician,single,tertiary,yes,no,no,cellular,aug,unknown,no
management,divorced,tertiary,no,yes,no,unknown,may,unknown,no
unemployed,married,secondary,no,yes,no,cellular,aug,unknown,no
blue-collar,divorced,secondary,no,no,no,cellular,may,unknown,no
management,divorced,tertiary,no,yes,yes,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,apr,failure,no
blue-collar,married,unknown,no,no,no,cellular,jan,other,no
management,single,tertiary,no,yes,no,cellular,apr,unknown,no
services,single,secondary,no,yes,yes,unknown,jun,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,no,no,unknown,nov,failure,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
retired,married,unknown,no,no,no,telephone,may,unknown,no
unemployed,divorced,secondary,no,yes,no,telephone,feb,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
housemaid,married,primary,no,no,no,cellular,aug,unknown,no
student,single,tertiary,no,no,no,cellular,aug,unknown,no
entrepreneur,divorced,primary,no,no,no,cellular,jan,failure,no
blue-collar,married,primary,no,yes,no,cellular,jul,unknown,no
management,married,secondary,no,yes,no,unknown,jun,unknown,no
technician,divorced,secondary,no,no,no,cellular,nov,success,yes
management,married,tertiary,no,yes,no,cellular,nov,other,yes
self-employed,married,unknown,no,yes,no,cellular,may,unknown,no
admin.,single,secondary,no,yes,no,cellular,nov,unknown,no
management,married,tertiary,no,no,yes,cellular,feb,unknown,no
admin.,divorced,primary,no,no,yes,cellular,jul,unknown,no
management,single,secondary,no,yes,yes,unknown,may,unknown,no
services,married,secondary,no,yes,no,unknown,may,unknown,no
management,married,secondary,no,yes,no,cellular,jul,unknown,no
blue-collar,married,unknown,no,yes,no,cellular,may,unknown,no
management,single,tertiary,no,no,no,cellular,jul,unknown,no
management,married,tertiary,no,no,yes,unknown,jun,unknown,no
management,divorced,secondary,no,no,no,cellular,nov,unknown,no
services,married,secondary,no,yes,no,unknown,jun,unknown,no
management,married,tertiary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,no
unemployed,married,tertiary,no,no,no,cellular,may,failure,no
admin.,divorced,secondary,no,yes,no,cellular,may,failure,yes
technician,divorced,secondary,no,yes,no,cellular,may,unknown,no
retired,married,primary,no,no,no,cellular,apr,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
admin.,married,secondary,no,yes,no,cellular,apr,unknown,no
admin.,divorced,secondary,no,no,no,cellular,nov,unknown,no
admin.,married,secondary,no,yes,no,cellular,apr,failure,no
technician,divorced,secondary,no,yes,yes,cellular,jul,unknown,no
blue-collar,single,unknown,no,yes,no,cellular,may,unknown,no
student,married,unknown,no,no,no,cellular,apr,unknown,no
blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
retired,married,secondary,no,no,no,cellular,oct,unknown,yes
technician,married,secondary,no,yes,no,unknown,may,unknown,no
technician,married,secondary,no,no,no,unknown,may,unknown,no
blue-collar,married,secondary,no,no,no,cellular,apr,unknown,no
admin.,married,secondary,no,yes,no,cellular,jul,unknown,no
blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
services,single,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
services,single,secondary,no,no,yes,cellular,feb,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
services,married,secondary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,yes,no,unknown,jun,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,apr,unknown,no
technician,married,tertiary,no,no,no,cellular,jan,success,yes
management,married,tertiary,no,no,no,cellular,apr,unknown,no
management,married,primary,no,no,no,unknown,jun,unknown,no
blue-collar,single,secondary,no,yes,yes,unknown,may,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
management,divorced,tertiary,no,no,no,cellular,aug,unknown,no
entrepreneur,divorced,tertiary,no,yes,yes,unknown,jun,unknown,no
services,married,secondary,no,yes,no,cellular,may,unknown,no
management,married,tertiary,no,yes,yes,cellular,jul,unknown,no
technician,divorced,secondary,no,yes,no,cellular,may,unknown,no
management,single,secondary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,yes,yes,cellular,jul,unknown,no
services,single,secondary,no,no,no,cellular,jul,unknown,no
technician,married,secondary,no,no,no,cellular,feb,failure,no
blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,no
blue-collar,single,primary,no,no,no,cellular,feb,failure,no
management,married,tertiary,no,yes,no,cellular,may,unknown,no
management,divorced,tertiary,no,no,no,unknown,jun,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,yes,yes,no,unknown,jun,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
management,married,unknown,no,no,no,cellular,sep,unknown,no
management,married,primary,no,yes,yes,unknown,may,unknown,no
technician,married,unknown,no,no,no,unknown,jun,unknown,no
blue-collar,married,primary,no,no,yes,cellular,jul,unknown,no
retired,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,primary,no,yes,no,unknown,jun,unknown,no
entrepreneur,married,tertiary,no,no,no,cellular,nov,unknown,no
blue-collar,single,secondary,no,no,no,cellular,may,unknown,no
entrepreneur,married,tertiary,no,yes,yes,cellular,nov,unknown,no
admin.,married,secondary,no,yes,no,cellular,feb,failure,no
technician,single,tertiary,no,yes,no,cellular,apr,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,feb,failure,no
unemployed,married,tertiary,no,yes,no,cellular,nov,unknown,no
services,married,secondary,no,no,no,cellular,jul,unknown,no
services,married,secondary,no,no,no,cellular,jul,unknown,no
services,married,secondary,no,no,no,cellular,aug,unknown,yes
technician,single,secondary,no,yes,no,cellular,may,other,no
blue-collar,single,unknown,no,yes,no,unknown,jun,unknown,no
admin.,single,secondary,no,yes,no,cellular,jan,unknown,no
self-employed,married,primary,no,yes,no,cellular,aug,unknown,no
entrepreneur,married,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,married,primary,no,yes,no,cellular,may,unknown,no
